TIME:       0.0150 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   3 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0160 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   4 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0160 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   1 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -1.5708 |  AGHW:  -1.5708
TIME:       0.0170 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   2 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0000 |  AGHW:  -0.0000
TIME:       0.0170 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   3 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0180 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   4 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0180 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   1 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -1.5708 |  AGHW:  -1.5708
TIME:       0.0190 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   2 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0000 |  AGHW:  -0.0000
TIME:       0.0190 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   3 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0200 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   4 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0001 |  AGHW:  -0.0001
TIME:       0.0200 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   1 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -1.5708 |  AGHW:  -1.5708
TIME:       0.0210 | TIME_WB:       0.0000 | TIME_HT:       0.0000 |  UW:   0.0000 |  UH:   0.0000 | RKSTEP:   2 | AGWK:   0.0000 |  AGHK:   0.0000 | AGWW:  -0.0000 |  AGHW:  -0.0000
